admin_code,ensemble,band_1,band_1,band_1,band_1,band_1,band_1,band_1,band_1,band_1,band_1,band_1,band_5,band_5,band_5,band_5,band_5,band_5,band_5,band_5,band_5,band_5,band_5,band_11,band_11,band_11,band_11,band_11,band_11,band_11,band_11,band_11,band_11,band_11
,,2026-02-23,2026-02-24,2026-02-25,2026-02-26,2026-02-27,2026-02-28,2026-03-01,2026-03-02,2026-03-03,2026-03-04,2026-03-05,2026-02-23,2026-02-24,2026-02-25,2026-02-26,2026-02-27,2026-02-28,2026-03-01,2026-03-02,2026-03-03,2026-03-04,2026-03-05,2026-02-23,2026-02-24,2026-02-25,2026-02-26,2026-02-27,2026-02-28,2026-03-01,2026-03-02,2026-03-03,2026-03-04,2026-03-05
21833,12,9462.1384,9462.1384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9462.1384,9462.1384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9462.1384,9462.1384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21833,13,9462.1384,9462.1384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9462.1384,9462.1384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9462.1384,9462.1384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21833,14,9462.1384,9462.1384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9462.1384,9462.1384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9462.1384,9462.1384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21833,15,9462.1384,9462.1384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9462.1384,9462.1384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9462.1384,9462.1384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21833,16,9462.1384,9462.1384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9462.1384,9462.1384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9462.1384,9462.1384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21833,17,9462.1384,9462.1384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9462.1384,9462.1384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9462.1384,9462.1384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21833,18,9462.1384,9462.1384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9462.1384,9462.1384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9462.1384,9462.1384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21833,19,9462.1384,9462.1384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9462.1384,9462.1384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9462.1384,9462.1384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21833,20,9462.1384,9462.1384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9462.1384,9462.1384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9462.1384,9462.1384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21833,21,9462.1384,9462.1384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9462.1384,9462.1384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9462.1384,9462.1384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21833,22,9462.1384,9462.1384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9462.1384,9462.1384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9462.1384,9462.1384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21833,23,9462.1384,9462.1384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9462.1384,9462.1384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9462.1384,9462.1384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21833,24,9462.1384,9462.1384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9462.1384,9462.1384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9462.1384,9462.1384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21833,25,9462.1384,9462.1384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9462.1384,9462.1384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9462.1384,9462.1384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
