,band_1,band_5,band_11,ADM2_CODE,ADM2_NAME,ADM1_CODE,ADM1_NAME,ADM0_CODE,ADM0_NAME
41,0,0,0,19228.0,Manakara Atsimo,41771.0,Vatovavy Fitovinany,150.0,Madagascar
42,0,0,0,19229.0,Manandriana,41751.0,Amoron'i Mania,150.0,Madagascar
43,0,0,0,19230.0,Mananjary,41771.0,Vatovavy Fitovinany,150.0,Madagascar
44,0,0,0,19231.0,Midongy Atsimo,41757.0,Atsimo Atsinanana,150.0,Madagascar
45,0,0,0,19232.0,Nosy-Varika,41771.0,Vatovavy Fitovinany,150.0,Madagascar
46,0,0,0,19233.0,Vangaindrano,41757.0,Atsimo Atsinanana,150.0,Madagascar
47,0,0,0,19234.0,Vohipeno,41771.0,Vatovavy Fitovinany,150.0,Madagascar
48,0,0,0,19235.0,Vondrozo,41757.0,Atsimo Atsinanana,150.0,Madagascar
49,0,0,0,19236.0,Ambato Boeni,41760.0,Boeny,150.0,Madagascar
50,0,0,0,19237.0,Ambatomainty,41766.0,Melaky,150.0,Madagascar
51,0,0,0,19238.0,Analalava,41769.0,Sofia,150.0,Madagascar
52,0,0,0,19239.0,Antsalova,41766.0,Melaky,150.0,Madagascar
53,0,0,0,19240.0,Antsohihy,41769.0,Sofia,150.0,Madagascar
54,0,0,0,19241.0,Bealanana,41769.0,Sofia,150.0,Madagascar
55,0,0,0,19242.0,Befandriana Nord,41769.0,Sofia,150.0,Madagascar
56,0,0,0,19243.0,Besalampy,41766.0,Melaky,150.0,Madagascar
57,0,0,0,19244.0,Port-Berge (Boriziny Vaovao),41769.0,Sofia,150.0,Madagascar
58,0,0,0,19245.0,Kandreho,41759.0,Betsiboka,150.0,Madagascar
59,0,0,0,19246.0,Maevatanana,41759.0,Betsiboka,150.0,Madagascar
60,0,0,0,19247.0,Mahajanga I,41760.0,Boeny,150.0,Madagascar
61,0,0,0,19248.0,Mahajanga II,41760.0,Boeny,150.0,Madagascar
62,0,0,0,19249.0,Maintirano,41766.0,Melaky,150.0,Madagascar
63,0,0,0,19250.0,Mampikony,41769.0,Sofia,150.0,Madagascar
64,0,0,0,19251.0,Mandritsara,41769.0,Sofia,150.0,Madagascar
65,0,0,0,19252.0,Marovoay,41760.0,Boeny,150.0,Madagascar
66,0,0,0,19253.0,Mitsinjo,41760.0,Boeny,150.0,Madagascar
67,0,0,0,19254.0,Morafenobe,41766.0,Melaky,150.0,Madagascar
68,0,0,0,19255.0,Soalala,41760.0,Boeny,150.0,Madagascar
69,0,0,0,19256.0,Tsaratanana,41759.0,Betsiboka,150.0,Madagascar
70,0,0,0,19257.0,Ambatondrazaka,41750.0,Alaotra Mangoro,150.0,Madagascar
71,0,0,0,19258.0,Amparafaravola,41750.0,Alaotra Mangoro,150.0,Madagascar
72,0,0,0,19259.0,Andilamena,41750.0,Alaotra Mangoro,150.0,Madagascar
73,0,0,0,19260.0,Anosibe-An'ala,41750.0,Alaotra Mangoro,150.0,Madagascar
74,0,0,0,19261.0,Antanambao Manampontsy,41758.0,Atsinanana,150.0,Madagascar
75,0,0,0,19262.0,Fenerive Est,41753.0,Analanjirofo,150.0,Madagascar
76,0,0,0,19263.0,Mahanoro,41758.0,Atsinanana,150.0,Madagascar
77,0,0,0,19264.0,Mananara Avaratra,41753.0,Analanjirofo,150.0,Madagascar
78,0,0,0,19265.0,Maroantsetra,41753.0,Analanjirofo,150.0,Madagascar
79,0,0,0,19266.0,Marolambo,41758.0,Atsinanana,150.0,Madagascar
80,0,0,0,19267.0,Moramanga,41750.0,Alaotra Mangoro,150.0,Madagascar
81,0,0,0,19269.0,Soanierana Ivongo,41753.0,Analanjirofo,150.0,Madagascar
82,0,0,0,19270.0,Toamasina I,41758.0,Atsinanana,150.0,Madagascar
83,0,0,0,19271.0,Toamasina II,41758.0,Atsinanana,150.0,Madagascar
84,0,0,0,19272.0,Vatomandry,41758.0,Atsinanana,150.0,Madagascar
85,0,0,0,19273.0,Vavatenina,41753.0,Analanjirofo,150.0,Madagascar
